Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1329, in <module>
    test(
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1276, in test
    with ServerClass(addr, HandlerClass) as httpd:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/socketserver.py", line 457, in __init__
    self.server_bind()
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1323, in server_bind
    return super().server_bind()
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 140, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/socketserver.py", line 478, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [06/Aug/2026 15:46:00] "GET /src/icons/symbols.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /chat-rich.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /src/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /assets/images/sector-logo.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /chat-rich-fixes.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /assets/images/lovehub-icon.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /icons.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /stickers.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /assets/vendor/supabase-js/umd/supabase.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] code 404, message File not found
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /supabase/config.js HTTP/1.1" 404 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /services/SupabaseService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /services/StorageService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /services/AuthService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /services/UserService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /services/HealthService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /services/LocalizationService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:47:09] "GET /utils.js HTTP/1.1" 200 -
